hour,current_a,truth_degradation_pct,open_loop_degradation_pct,prediction_degradation_pct,posterior_degradation_pct,posterior_std_pct,observation_degradation_pct,corrected,monotonic_projection
1,0.0,0.0,0.0,0.0,0.0,0.030331501776,,False,False
2,0.0,0.0,0.0,0.0,0.0,0.030659419434,,False,False
3,0.0,0.0,0.0,0.0,0.0,0.03098386677,,False,False
4,0.0,0.0,0.0,0.0,0.0,0.031304951685,,False,False
5,90.0,0.004554,0.00396,0.00396,0.00396,0.035613950357,,False,False
6,90.0,0.006854,0.00596,0.00596,0.00596,0.039455125396,,False,False
7,90.0,0.009154,0.00796,0.00796,0.00796,0.042954166038,,False,False
8,90.0,0.011454,0.00996,0.00996,0.00996,0.046188893038,,False,False
9,195.0,0.013754,0.01196,0.01196,0.01196,0.049211454968,,False,False
10,195.0,0.016054,0.01396,0.01396,0.01396,0.052058820195,,False,False
11,195.0,0.018354,0.01596,0.01596,0.01596,0.054758325578,,False,False
12,195.0,0.020654,0.01796,0.01796,0.01796,0.057330861498,,False,False
13,195.0,0.022954,0.01996,0.01996,0.01996,0.059792818466,,False,False
14,195.0,0.025254,0.02196,0.02196,0.02196,0.06215733746,,False,False
15,195.0,0.027554,0.02396,0.02396,0.02396,0.064435146156,,False,False
16,195.0,0.029854,0.02596,0.02596,0.02596,0.066635137279,,False,False
17,270.0,0.032154,0.02796,0.02796,0.02796,0.068764780085,,False,False
18,270.0,0.034454,0.02996,0.02996,0.02996,0.070830420302,,False,False
19,270.0,0.036754,0.03196,0.03196,0.03196,0.072837503391,,False,False
20,270.0,0.039054,0.03396,0.03396,0.03396,0.074790743814,,False,False
21,270.0,0.041354,0.03596,0.03596,0.03596,0.076694255458,,False,False
22,270.0,0.043654,0.03796,0.03796,0.03796,0.078551653581,,False,False
23,270.0,0.045954,0.03996,0.03996,0.03996,0.080366135532,,False,False
24,270.0,0.048254,0.04196,0.04196,0.076917200728,0.028179373073,0.081580185459,True,False
25,90.0,0.050554,0.04396,0.078917200728,0.078917200728,0.032900311956,,False,False
26,90.0,0.052854,0.04596,0.080917200728,0.080917200728,0.037024100081,,False,False
27,90.0,0.055154,0.04796,0.082917200728,0.082917200728,0.040732510932,,False,False
28,90.0,0.057454,0.04996,0.084917200728,0.084917200728,0.044130385302,,False,False
29,90.0,0.059754,0.05196,0.086917200728,0.086917200728,0.047284715997,,False,False
30,90.0,0.062054,0.05396,0.088917200728,0.088917200728,0.050241395551,,False,False
31,90.0,0.064354,0.05596,0.090917200728,0.090917200728,0.053033492124,,False,False
32,90.0,0.066654,0.05796,0.092917200728,0.092917200728,0.055685767903,,False,False
33,195.0,0.068954,0.05996,0.094917200728,0.094917200728,0.058217335966,,False,False
34,195.0,0.071254,0.06196,0.096917200728,0.096917200728,0.060643315105,,False,False
35,195.0,0.073554,0.06396,0.098917200728,0.098917200728,0.0629759091,,False,False
36,195.0,0.075854,0.06596,0.100917200728,0.100917200728,0.065225137692,,False,False
37,195.0,0.078154,0.06796,0.102917200728,0.102917200728,0.067399347527,,False,False
38,195.0,0.080454,0.06996,0.104917200728,0.104917200728,0.069505578963,,False,False
39,195.0,0.082754,0.07196,0.106917200728,0.106917200728,0.071549835549,,False,False
40,195.0,0.085054,0.07396,0.108917200728,0.108917200728,0.073537285965,,False,False
41,270.0,0.087354,0.07596,0.110917200728,0.110917200728,0.075472418055,,False,False
42,270.0,0.089654,0.07796,0.112917200728,0.112917200728,0.077359158133,,False,False
43,270.0,0.091954,0.07996,0.114917200728,0.114917200728,0.079200964685,,False,False
44,270.0,0.094254,0.08196,0.116917200728,0.116917200728,0.081000902878,,False,False
45,270.0,0.096554,0.08396,0.118917200728,0.118917200728,0.082761704472,,False,False
46,270.0,0.098854,0.08596,0.120917200728,0.120917200728,0.084485816485,,False,False
47,270.0,0.101154,0.08796,0.122917200728,0.122917200728,0.086175441091,,False,False
