block_id,month,delta_terminal_max_damage_pct,delta_expected_damage_increment_pct,delta_tracking_mae_kw,delta_hydrogen_g_per_fc_kwh
external_2025-06_s1,2025-06,-0.0039527934722474005,0.0001594938888888506,0.0766787005364622,-0.1067840082570157
external_2025-06_s2,2025-06,-0.00378754388894135,0.0003751833333333,0.0326067316171308,-0.08915038368569125
external_2025-06_s3,2025-06,-0.00409830555555495,0.00027757125,0.047803845771368,-0.14015731396250786
external_2025-07_s1,2025-07,-0.0039677141667184505,0.0005448185416666,0.06396293711270445,-0.1588597968243945
external_2025-07_s2,2025-07,-0.003251927500075,0.0001709641666666182,-0.1935804529765704,0.9410757024142634
external_2025-07_s3,2025-07,-0.00466596659727345,0.0003198080555555192,0.0180893551044511,-0.3637763574976489
external_2025-08_s1,2025-08,-0.00458477402783545,0.00025911618055555,0.2197073777478929,-0.4156549188192997
external_2025-08_s2,2025-08,-0.00303400000007675,0.00025874999999995,-0.3395777336785015,-0.2652616972983814
external_2025-08_s3,2025-08,-0.004123022638894551,0.0003511713194444,0.041863069646888545,-0.21279883946404604
external_2025-09_s1,2025-09,-0.0039746395833848,0.00028568888888885,-0.0375449478285499,-0.18183795524913998
external_2025-09_s2,2025-09,-0.0037280681944954997,0.0003894280555555,-0.0819237303678379,-0.1583920929362676
external_2025-09_s3,2025-09,-0.00360734180560745,0.00032748125,-0.0852306215464023,-0.15249903964110695
external_2025-10_s1,2025-10,-0.00388160430560665,9.067374999999995e-05,-0.048669238108865545,-0.1683427124270764
external_2025-10_s2,2025-10,-0.00400531277783495,0.0002834211111111,-0.07981240226993536,-0.1616330215399877
external_2025-10_s3,2025-10,-0.0044372591666772005,0.00085297124999995,0.140335373162962,-0.2415404566841488
external_2025-11_s1,2025-11,-0.0037561415278290497,0.0002693048611111,0.014734705613387,-0.09883929446840506
external_2025-11_s2,2025-11,-0.0037899795833839503,0.0002666656944444,0.027219282728128846,-0.1089237757942278
external_2025-11_s3,2025-11,-0.00466772013892355,0.00042725374999995,-0.04640094817398125,-0.1476576310189479
external_2025-12_s1,2025-12,-0.00547664597224435,0.00045786277777775,-0.0635886953761641,-0.20258218273722406
external_2025-12_s2,2025-12,-0.0039457375000746,-0.0012551818750000002,-0.39605277487759993,-0.5422657832192215
external_2025-12_s3,2025-12,-0.00382269000007525,-0.00071506854166665,-0.280129437772353,-0.7641438894294055
external_2026-01_s1,2026-01,-0.0037556465278281,0.0003546547222222,0.0047786033197397,0.18768865785506963
external_2026-01_s2,2026-01,-0.0036703322917426,-0.0009136633333333001,-0.5012964803996214,-0.3907910475594818
external_2026-01_s3,2026-01,-0.0043577305556218495,8.334840277776642e-05,-0.12033532142699925,-0.28665786307631075
external_2026-02_s1,2026-02,-0.0037259930556068,0.0004499339583333,-0.01824536103837595,0.202107164895736
external_2026-02_s2,2026-02,-0.00360423805562775,0.00028997527777775,0.20250597358957426,-0.33239335739101245
external_2026-02_s3,2026-02,-0.00420901819449375,0.00056136111111105,0.01633233070885855,0.16213130766248443
external_2026-03_s1,2026-03,-0.00375326625004875,0.00032666236111110003,-0.02052604788445295,-0.1637389716492272
external_2026-03_s2,2026-03,-0.0041607000000807,0.0027419749999999504,0.1153815219879719,0.13739040405820901
external_2026-03_s3,2026-03,-0.0043419493056111,0.0002167004166666,0.06522622810438845,-0.09254557692562315
external_2026-04_s1,2026-04,-0.0037861852778280003,0.0004685166666666,-0.0197414721564868,-0.1029006159333043
external_2026-04_s2,2026-04,-0.0038156094444943,0.00044555291666665,-0.04198719154058255,-0.08531814983987471
external_2026-04_s3,2026-04,-0.0037224806944946,0.0003402591666666,-0.027019491157809147,-0.07217943580902635
external_2026-05_s1,2026-05,-0.0036976181944966997,0.00027111548611105,-0.04513247721208345,0.1291747894220627
external_2026-05_s2,2026-05,-0.00354322944451675,0.00028585618055550004,-0.36233012864705993,-0.34887842957733284
external_2026-05_s3,2026-05,-0.0036147904167389,-0.00028175125,-0.13617079444393393,-0.0231909145986328
external_2026-06_s1,2026-06,-0.0036973220833859503,0.00027154298611105,-0.039944215613791946,0.08081018920209006
external_2026-06_s2,2026-06,-0.00387475680560495,0.0004124216666666,-0.00992820943920065,0.12474520571916516
external_2026-06_s3,2026-06,-0.0037250090278293,0.0003741969444444,-0.0191191311566287,0.1400001650084981
